Model.Description,Goodness.Of.Fit
Belief.In.God -> Religious.Practice || Supernatural.Beliefs -> Religious.Practice || Belief.In.God -> Religious.Formation || Supernatural.Beliefs -> Religious.Formation || Religious.Practice -> Religious.Formation,0.607564658261397
Belief.In.God -> Supernatural.Beliefs || Belief.In.God -> Religious.Practice || Supernatural.Beliefs -> Religious.Practice || Belief.In.God -> Religious.Formation || Supernatural.Beliefs -> Religious.Formation || Religious.Practice -> Religious.Formation,0.61493297808743
Belief.In.God -> Religious.Formation || Belief.In.God -> Supernatural.Beliefs || Belief.In.God -> Religious.Practice,0.585784875483066
Religious.Formation -> Supernatural.Beliefs || Belief.In.God -> Religious.Practice,0.526114291618566
Belief.In.God -> Religious.Formation || Religious.Formation -> Supernatural.Beliefs || Belief.In.God -> Religious.Practice,0.514262458866629
Belief.In.God -> Supernatural.Beliefs || Religious.Formation -> Supernatural.Beliefs || Belief.In.God -> Religious.Practice,0.630089013143276
Belief.In.God -> Religious.Formation || Belief.In.God -> Supernatural.Beliefs || Religious.Formation -> Supernatural.Beliefs || Belief.In.God -> Religious.Practice,0.586795601150774
Belief.In.God -> Supernatural.Beliefs || Religious.Formation -> Religious.Practice,0.577036612113729
Belief.In.God -> Religious.Formation || Belief.In.God -> Supernatural.Beliefs || Religious.Formation -> Religious.Practice,0.549338199559457
Belief.In.God -> Religious.Formation || Religious.Formation -> Supernatural.Beliefs || Religious.Formation -> Religious.Practice,0.472668908985462
Belief.In.God -> Supernatural.Beliefs || Religious.Formation -> Supernatural.Beliefs || Religious.Formation -> Religious.Practice,0.578817052752665
Belief.In.God -> Religious.Formation || Belief.In.God -> Supernatural.Beliefs || Religious.Formation -> Supernatural.Beliefs || Religious.Formation -> Religious.Practice,0.550509615009189
Belief.In.God -> Supernatural.Beliefs || Belief.In.God -> Religious.Practice || Religious.Formation -> Religious.Practice,0.644593398611587
Belief.In.God -> Religious.Formation || Belief.In.God -> Supernatural.Beliefs || Belief.In.God -> Religious.Practice || Religious.Formation -> Religious.Practice,0.597187369170835
Religious.Formation -> Supernatural.Beliefs || Belief.In.God -> Religious.Practice || Religious.Formation -> Religious.Practice,0.545244549600384
Belief.In.God -> Religious.Formation || Religious.Formation -> Supernatural.Beliefs || Belief.In.God -> Religious.Practice || Religious.Formation -> Religious.Practice,0.527286244059258
Belief.In.God -> Supernatural.Beliefs || Religious.Formation -> Supernatural.Beliefs || Belief.In.God -> Religious.Practice || Religious.Formation -> Religious.Practice,0.646179337129055
Belief.In.God -> Religious.Formation || Belief.In.God -> Supernatural.Beliefs || Religious.Formation -> Supernatural.Beliefs || Belief.In.God -> Religious.Practice || Religious.Formation -> Religious.Practice,0.598285919473758
Belief.In.God -> Religious.Formation || Supernatural.Beliefs -> Religious.Practice,0.547595833792388
Belief.In.God -> Religious.Formation || Belief.In.God -> Supernatural.Beliefs || Supernatural.Beliefs -> Religious.Practice,0.576028272678713
Belief.In.God -> Religious.Formation || Religious.Formation -> Supernatural.Beliefs || Supernatural.Beliefs -> Religious.Practice,0.503379896340333
Belief.In.God -> Supernatural.Beliefs || Religious.Formation -> Supernatural.Beliefs || Supernatural.Beliefs -> Religious.Practice,0.616361001181713
Belief.In.God -> Religious.Formation || Belief.In.God -> Supernatural.Beliefs || Religious.Formation -> Supernatural.Beliefs || Supernatural.Beliefs -> Religious.Practice,0.577093387472995
Belief.In.God -> Religious.Formation || Belief.In.God -> Religious.Practice || Supernatural.Beliefs -> Religious.Practice,0.583233535537736
Belief.In.God -> Religious.Formation || Belief.In.God -> Supernatural.Beliefs || Belief.In.God -> Religious.Practice || Supernatural.Beliefs -> Religious.Practice,0.598998632162821
Religious.Formation -> Supernatural.Beliefs || Belief.In.God -> Religious.Practice || Supernatural.Beliefs -> Religious.Practice,0.547862057879764
Belief.In.God -> Religious.Formation || Religious.Formation -> Supernatural.Beliefs || Belief.In.God -> Religious.Practice || Supernatural.Beliefs -> Religious.Practice,0.529355252781646
Belief.In.God -> Supernatural.Beliefs || Religious.Formation -> Supernatural.Beliefs || Belief.In.God -> Religious.Practice || Supernatural.Beliefs -> Religious.Practice,0.648346775567727
Belief.In.God -> Religious.Formation || Belief.In.God -> Supernatural.Beliefs || Religious.Formation -> Supernatural.Beliefs || Belief.In.God -> Religious.Practice || Supernatural.Beliefs -> Religious.Practice,0.600020040762871
Belief.In.God -> Religious.Formation || Religious.Formation -> Religious.Practice || Supernatural.Beliefs -> Religious.Practice,0.581101823253289
Belief.In.God -> Supernatural.Beliefs || Religious.Formation -> Religious.Practice || Supernatural.Beliefs -> Religious.Practice,0.644871940467988
Belief.In.God -> Religious.Formation || Belief.In.God -> Supernatural.Beliefs || Religious.Formation -> Religious.Practice || Supernatural.Beliefs -> Religious.Practice,0.597490105798043
Belief.In.God -> Religious.Formation || Religious.Formation -> Supernatural.Beliefs || Religious.Formation -> Religious.Practice || Supernatural.Beliefs -> Religious.Practice,0.5278988117638
Belief.In.God -> Supernatural.Beliefs || Religious.Formation -> Supernatural.Beliefs || Religious.Formation -> Religious.Practice || Supernatural.Beliefs -> Religious.Practice,0.646503814536732
Belief.In.God -> Religious.Formation || Belief.In.God -> Supernatural.Beliefs || Religious.Formation -> Supernatural.Beliefs || Religious.Formation -> Religious.Practice || Supernatural.Beliefs -> Religious.Practice,0.598611299051097
Belief.In.God -> Religious.Practice || Religious.Formation -> Religious.Practice || Supernatural.Beliefs -> Religious.Practice,0.688114910619035
Belief.In.God -> Religious.Formation || Belief.In.God -> Religious.Practice || Religious.Formation -> Religious.Practice || Supernatural.Beliefs -> Religious.Practice,0.597291592141848
Belief.In.God -> Supernatural.Beliefs || Belief.In.God -> Religious.Practice || Religious.Formation -> Religious.Practice || Supernatural.Beliefs -> Religious.Practice,0.65969477960499
Belief.In.God -> Religious.Formation || Belief.In.God -> Supernatural.Beliefs || Belief.In.God -> Religious.Practice || Religious.Formation -> Religious.Practice || Supernatural.Beliefs -> Religious.Practice,0.608180329686954
Religious.Formation -> Supernatural.Beliefs || Belief.In.God -> Religious.Practice || Religious.Formation -> Religious.Practice || Supernatural.Beliefs -> Religious.Practice,0.563103798564015
Belief.In.God -> Religious.Formation || Religious.Formation -> Supernatural.Beliefs || Belief.In.God -> Religious.Practice || Religious.Formation -> Religious.Practice || Supernatural.Beliefs -> Religious.Practice,0.539799340390467
Belief.In.God -> Supernatural.Beliefs || Religious.Formation -> Supernatural.Beliefs || Belief.In.God -> Religious.Practice || Religious.Formation -> Religious.Practice || Supernatural.Beliefs -> Religious.Practice,0.661287289904244
Belief.In.God -> Religious.Formation || Belief.In.God -> Supernatural.Beliefs || Religious.Formation -> Supernatural.Beliefs || Belief.In.God -> Religious.Practice || Religious.Formation -> Religious.Practice || Supernatural.Beliefs -> Religious.Practice,0.609286734129796
Belief.In.God -> Religious.Formation || Belief.In.God -> Religious.Practice || Belief.In.God -> Supernatural.Beliefs,0.585784875483066
Religious.Formation -> Religious.Practice || Belief.In.God -> Supernatural.Beliefs,0.577036612113729
Belief.In.God -> Religious.Formation || Religious.Formation -> Religious.Practice || Belief.In.God -> Supernatural.Beliefs,0.549338199559457
Belief.In.God -> Religious.Practice || Religious.Formation -> Religious.Practice || Belief.In.God -> Supernatural.Beliefs,0.644593398611587
Belief.In.God -> Religious.Formation || Belief.In.God -> Religious.Practice || Religious.Formation -> Religious.Practice || Belief.In.God -> Supernatural.Beliefs,0.597187369170835
Belief.In.God -> Religious.Practice || Religious.Formation -> Supernatural.Beliefs,0.526114291618566
Belief.In.God -> Religious.Formation || Belief.In.God -> Religious.Practice || Religious.Formation -> Supernatural.Beliefs,0.514262458866629
Belief.In.God -> Religious.Formation || Religious.Formation -> Religious.Practice || Religious.Formation -> Supernatural.Beliefs,0.472668908985462
Belief.In.God -> Religious.Practice || Religious.Formation -> Religious.Practice || Religious.Formation -> Supernatural.Beliefs,0.545244549600384
Belief.In.God -> Religious.Formation || Belief.In.God -> Religious.Practice || Religious.Formation -> Religious.Practice || Religious.Formation -> Supernatural.Beliefs,0.527286244059258
Belief.In.God -> Religious.Practice || Belief.In.God -> Supernatural.Beliefs || Religious.Formation -> Supernatural.Beliefs,0.630089013143276
Belief.In.God -> Religious.Formation || Belief.In.God -> Religious.Practice || Belief.In.God -> Supernatural.Beliefs || Religious.Formation -> Supernatural.Beliefs,0.586795601150774
Religious.Formation -> Religious.Practice || Belief.In.God -> Supernatural.Beliefs || Religious.Formation -> Supernatural.Beliefs,0.578817052752665
Belief.In.God -> Religious.Formation || Religious.Formation -> Religious.Practice || Belief.In.God -> Supernatural.Beliefs || Religious.Formation -> Supernatural.Beliefs,0.550509615009189
Belief.In.God -> Religious.Practice || Religious.Formation -> Religious.Practice || Belief.In.God -> Supernatural.Beliefs || Religious.Formation -> Supernatural.Beliefs,0.646179337129055
Belief.In.God -> Religious.Formation || Belief.In.God -> Religious.Practice || Religious.Formation -> Religious.Practice || Belief.In.God -> Supernatural.Beliefs || Religious.Formation -> Supernatural.Beliefs,0.598285919473758
Belief.In.God -> Religious.Formation || Religious.Practice -> Supernatural.Beliefs,0.547595833792388
Belief.In.God -> Religious.Formation || Belief.In.God -> Religious.Practice || Religious.Practice -> Supernatural.Beliefs,0.574452577619367
Belief.In.God -> Religious.Formation || Religious.Formation -> Religious.Practice || Religious.Practice -> Supernatural.Beliefs,0.537265462998654
Belief.In.God -> Religious.Practice || Religious.Formation -> Religious.Practice || Religious.Practice -> Supernatural.Beliefs,0.629225279773398
Belief.In.God -> Religious.Formation || Belief.In.God -> Religious.Practice || Religious.Formation -> Religious.Practice || Religious.Practice -> Supernatural.Beliefs,0.586353413150587
Belief.In.God -> Religious.Formation || Belief.In.God -> Supernatural.Beliefs || Religious.Practice -> Supernatural.Beliefs,0.585910450910186
Belief.In.God -> Religious.Formation || Belief.In.God -> Religious.Practice || Belief.In.God -> Supernatural.Beliefs || Religious.Practice -> Supernatural.Beliefs,0.598745022124361
Religious.Formation -> Religious.Practice || Belief.In.God -> Supernatural.Beliefs || Religious.Practice -> Supernatural.Beliefs,0.59691054200502
Belief.In.God -> Religious.Formation || Religious.Formation -> Religious.Practice || Belief.In.God -> Supernatural.Beliefs || Religious.Practice -> Supernatural.Beliefs,0.563498394514955
Belief.In.God -> Religious.Practice || Religious.Formation -> Religious.Practice || Belief.In.God -> Supernatural.Beliefs || Religious.Practice -> Supernatural.Beliefs,0.662618924191944
Belief.In.God -> Religious.Formation || Belief.In.God -> Religious.Practice || Religious.Formation -> Religious.Practice || Belief.In.God -> Supernatural.Beliefs || Religious.Practice -> Supernatural.Beliefs,0.61029891464294
Belief.In.God -> Religious.Formation || Religious.Formation -> Supernatural.Beliefs || Religious.Practice -> Supernatural.Beliefs,0.549409898865879
Belief.In.God -> Religious.Practice || Religious.Formation -> Supernatural.Beliefs || Religious.Practice -> Supernatural.Beliefs,0.613959619645932
Belief.In.God -> Religious.Formation || Belief.In.God -> Religious.Practice || Religious.Formation -> Supernatural.Beliefs || Religious.Practice -> Supernatural.Beliefs,0.575501579630352
Belief.In.God -> Religious.Formation || Religious.Formation -> Religious.Practice || Religious.Formation -> Supernatural.Beliefs || Religious.Practice -> Supernatural.Beliefs,0.538534246253052
Belief.In.God -> Religious.Practice || Religious.Formation -> Religious.Practice || Religious.Formation -> Supernatural.Beliefs || Religious.Practice -> Supernatural.Beliefs,0.630858920781215
Belief.In.God -> Religious.Formation || Belief.In.God -> Religious.Practice || Religious.Formation -> Religious.Practice || Religious.Formation -> Supernatural.Beliefs || Religious.Practice -> Supernatural.Beliefs,0.587482279561437
Belief.In.God -> Supernatural.Beliefs || Religious.Formation -> Supernatural.Beliefs || Religious.Practice -> Supernatural.Beliefs,0.66800472119019
Belief.In.God -> Religious.Formation || Belief.In.God -> Supernatural.Beliefs || Religious.Formation -> Supernatural.Beliefs || Religious.Practice -> Supernatural.Beliefs,0.585708872568152
Belief.In.God -> Religious.Practice || Belief.In.God -> Supernatural.Beliefs || Religious.Formation -> Supernatural.Beliefs || Religious.Practice -> Supernatural.Beliefs,0.646390752136528
Belief.In.God -> Religious.Formation || Belief.In.God -> Religious.Practice || Belief.In.God -> Supernatural.Beliefs || Religious.Formation -> Supernatural.Beliefs || Religious.Practice -> Supernatural.Beliefs,0.598626227785856
Religious.Formation -> Religious.Practice || Belief.In.God -> Supernatural.Beliefs || Religious.Formation -> Supernatural.Beliefs || Religious.Practice -> Supernatural.Beliefs,0.596949710535101
Belief.In.God -> Religious.Formation || Religious.Formation -> Religious.Practice || Belief.In.God -> Supernatural.Beliefs || Religious.Formation -> Supernatural.Beliefs || Religious.Practice -> Supernatural.Beliefs,0.563455073020779
Belief.In.God -> Religious.Practice || Religious.Formation -> Religious.Practice || Belief.In.God -> Supernatural.Beliefs || Religious.Formation -> Supernatural.Beliefs || Religious.Practice -> Supernatural.Beliefs,0.662647772159878
Belief.In.God -> Religious.Formation || Belief.In.God -> Religious.Practice || Religious.Formation -> Religious.Practice || Belief.In.God -> Supernatural.Beliefs || Religious.Formation -> Supernatural.Beliefs || Religious.Practice -> Supernatural.Beliefs,0.610282874772757
Belief.In.God -> Religious.Practice || Belief.In.God -> Supernatural.Beliefs || Belief.In.God -> Religious.Formation,0.585784875483066
Religious.Practice -> Supernatural.Beliefs || Belief.In.God -> Religious.Formation,0.547595833792388
Belief.In.God -> Religious.Practice || Religious.Practice -> Supernatural.Beliefs || Belief.In.God -> Religious.Formation,0.574452577619367
Belief.In.God -> Supernatural.Beliefs || Religious.Practice -> Supernatural.Beliefs || Belief.In.God -> Religious.Formation,0.585910450910186
Belief.In.God -> Religious.Practice || Belief.In.God -> Supernatural.Beliefs || Religious.Practice -> Supernatural.Beliefs || Belief.In.God -> Religious.Formation,0.598745022124361
Belief.In.God -> Supernatural.Beliefs || Religious.Practice -> Religious.Formation,0.57703661211373
Belief.In.God -> Religious.Practice || Belief.In.God -> Supernatural.Beliefs || Religious.Practice -> Religious.Formation,0.593298987177266
Belief.In.God -> Religious.Practice || Religious.Practice -> Supernatural.Beliefs || Religious.Practice -> Religious.Formation,0.581897223374874
Belief.In.God -> Supernatural.Beliefs || Religious.Practice -> Supernatural.Beliefs || Religious.Practice -> Religious.Formation,0.596910542005021
Belief.In.God -> Religious.Practice || Belief.In.God -> Supernatural.Beliefs || Religious.Practice -> Supernatural.Beliefs || Religious.Practice -> Religious.Formation,0.606105959954616
Belief.In.God -> Supernatural.Beliefs || Belief.In.God -> Religious.Formation || Religious.Practice -> Religious.Formation,0.590311000111312
Belief.In.God -> Religious.Practice || Belief.In.God -> Supernatural.Beliefs || Belief.In.God -> Religious.Formation || Religious.Practice -> Religious.Formation,0.601745878252739
Religious.Practice -> Supernatural.Beliefs || Belief.In.God -> Religious.Formation || Religious.Practice -> Religious.Formation,0.573694343636966
Belief.In.God -> Religious.Practice || Religious.Practice -> Supernatural.Beliefs || Belief.In.God -> Religious.Formation || Religious.Practice -> Religious.Formation,0.590875051685972
Belief.In.God -> Supernatural.Beliefs || Religious.Practice -> Supernatural.Beliefs || Belief.In.God -> Religious.Formation || Religious.Practice -> Religious.Formation,0.610311737620768
Belief.In.God -> Religious.Practice || Belief.In.God -> Supernatural.Beliefs || Religious.Practice -> Supernatural.Beliefs || Belief.In.God -> Religious.Formation || Religious.Practice -> Religious.Formation,0.614660923332952
Belief.In.God -> Religious.Practice || Supernatural.Beliefs -> Religious.Formation,0.526114291618566
Belief.In.God -> Religious.Practice || Belief.In.God -> Supernatural.Beliefs || Supernatural.Beliefs -> Religious.Formation,0.562871676760143
